account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Cancity,1C1I7A6R,Moses Frase,Won,GTX Plus Basic,2016-10-20,2017-03-01,1054.0
Isdom,Z063OYW0,Darcel Schlecht,Won,GTXPro,2016-10-25,2017-03-11,4514.0
Cancity,EC4QE1BX,Darcel Schlecht,Won,MG Special,2016-10-25,2017-03-07,50.0
Codehow,MV1LWRNH,Moses Frase,Won,GTX Basic,2016-10-25,2017-03-09,588.0
Hatfan,PE84CX4O,Zane Levy,Won,GTX Basic,2016-10-25,2017-03-02,517.0
Ron-tech,ZNBS69V1,Anna Snelling,Won,MG Special,2016-10-29,2017-03-01,49.0
J-Texon,9ME3374G,Vicki Laflamme,Won,MG Special,2016-10-30,2017-03-02,57.0
Cheers,7GN8Q4LL,Markita Hansen,Won,GTX Basic,2016-11-01,2017-03-07,601.0
Zumgoity,OLK9LKZB,Niesha Huffines,Won,GTX Plus Basic,2016-11-01,2017-03-03,1026.0
Bioholding,NL3JZH1Z,Anna Snelling,Won,MG Special,2016-11-04,2017-03-10,53.0
Genco Pura Olive Oil Company,KWVA7VR1,Gladys Colclough,Lost,GTXPro,2016-11-04,2017-03-18,0.0
Sunnamplex,S8DX3XOU,James Ascencio,Won,GTX Plus Pro,2016-11-04,2017-03-10,5169.0
Sonron,ENB2XD8G,Maureen Marcano,Won,GTX Plus Pro,2016-11-04,2017-03-06,4631.0
Finjob,09YE9QOV,Hayden Neloms,Won,MG Advanced,2016-11-05,2017-03-11,3393.0
Sonron,3F5MZNEH,Rosalina Dieter,Lost,MG Special,2016-11-05,2017-03-03,0.0
Scotfind,M6WEJXC0,Rosalina Dieter,Won,MG Advanced,2016-11-05,2017-03-06,3284.0
Treequote,6PTR7VBR,Versie Hillebrand,Won,MG Special,2016-11-06,2017-03-05,61.0
Xx-zobam,902REDPA,Daniell Hammack,Lost,GTXPro,2016-11-07,2017-03-09,0.0
Rantouch,5J9CMGDV,Elease Gluck,Won,MG Special,2016-11-07,2017-03-08,46.0
Fasehatice,JJXRR8R6,James Ascencio,Lost,GTX Plus Pro,2016-11-07,2017-03-17,0.0
Ron-tech,WF4HA5NW,Moses Frase,Won,MG Special,2016-11-07,2017-03-18,50.0
Vehement Capital Partners,C5K2JP1H,Violet Mclelland,Won,GTX Plus Basic,2016-11-07,2017-03-11,1014.0
Warephase,ADRB8OMB,Darcel Schlecht,Won,GTX Basic,2016-11-08,2017-03-26,561.0
Zoomit,SBCR987L,Kami Bicknell,Won,GTX Basic,2016-11-10,2017-03-23,590.0
Bioholding,JSD4APT2,Versie Hillebrand,Won,MG Special,2016-11-10,2017-03-12,61.0
Xx-zobam,AO9Z2D17,Violet Mclelland,Lost,GTX Plus Pro,2016-11-10,2017-03-11,0.0
Cheers,5M58DTJK,Elease Gluck,Won,MG Special,2016-11-11,2017-03-05,58.0
Labdrill,KNY1OSAB,Maureen Marcano,Won,GTXPro,2016-11-11,2017-03-14,4899.0
Zotware,EAZDUUM9,Rosie Papadopoulos,Lost,MG Advanced,2016-11-11,2017-03-01,0.0
dambase,2STUSOFE,Versie Hillebrand,Won,MG Special,2016-11-11,2017-03-03,67.0
Xx-holding,JYKM0B00,James Ascencio,Won,GTXPro,2016-11-12,2017-03-06,4338.0
Fasehatice,KU28360J,Kary Hendrixson,Won,GTX Basic,2016-11-12,2017-03-19,578.0
Acme Corporation,N4SD17JR,Reed Clapper,Won,GTX Basic,2016-11-12,2017-03-01,556.0
Green-Plus,E67P9Y3Q,Rosalina Dieter,Won,GTX Basic,2016-11-12,2017-03-03,635.0
The New York Inquirer,AT3MMVIS,Wilburn Farren,Won,MG Advanced,2016-11-12,2017-03-07,3045.0
Mathtouch,REJ11LRY,Garret Kinder,Won,GTX Plus Basic,2016-11-13,2017-03-14,1233.0
Zumgoity,ERV0CAZ7,Versie Hillebrand,Won,MG Special,2016-11-13,2017-03-09,60.0
Gogozoom,8SOQADK7,Anna Snelling,Lost,MG Special,2016-11-14,2017-03-30,0.0
Stanredtax,TCHFT25B,Darcel Schlecht,Lost,GTX Basic,2016-11-14,2017-03-08,0.0
Konmatfix,CZVN09WN,Darcel Schlecht,Won,GTX Plus Basic,2016-11-14,2017-03-20,1170.0
Genco Pura Olive Oil Company,30UQWUKB,Marty Freudenburg,Won,GTX Plus Basic,2016-11-15,2017-03-20,1162.0
Conecom,97UN20YY,Darcel Schlecht,Won,MG Advanced,2016-11-16,2017-03-14,3725.0
Golddex,JXLERZ9O,Kary Hendrixson,Won,GTX Basic,2016-11-16,2017-03-31,559.0
Plexzap,6ROE69W5,Rosalina Dieter,Lost,GTX Basic,2016-11-16,2017-03-11,0.0
Rundofase,0DFXFKT7,Darcel Schlecht,Lost,GTX Plus Basic,2016-11-17,2017-03-21,0.0
Sonron,XKMZVSN4,James Ascencio,Won,GTX Plus Pro,2016-11-17,2017-03-05,4667.0
Finhigh,IU8V0BZK,Marty Freudenburg,Won,GTX Plus Basic,2016-11-17,2017-03-17,903.0
Finjob,XY42936P,Maureen Marcano,Won,GTX Plus Basic,2016-11-17,2017-03-13,1180.0
Ron-tech,XRN54MBM,Niesha Huffines,Won,GTX Basic,2016-11-17,2017-03-05,487.0
Stanredtax,2V848WZD,Lajuana Vencill,Won,MG Advanced,2016-11-18,2017-03-04,3180.0
Funholding,ONYNTUCG,Darcel Schlecht,Lost,GTXPro,2016-11-19,2017-03-17,0.0
Gogozoom,HIOHX80Y,Darcel Schlecht,Won,MG Advanced,2016-11-19,2017-03-18,3563.0
Opentech,LPKT07PV,Boris Faz,Won,GTXPro,2016-11-20,2017-03-23,4704.0
Silis,WPB2SLIG,Donn Cantrell,Won,GTX Plus Pro,2016-11-20,2017-03-14,5585.0
Zoomit,XUSUEAV7,Elease Gluck,Won,GTK 500,2016-11-20,2017-03-09,25897.0
Goodsilron,3TYPII47,Kami Bicknell,Won,GTX Plus Basic,2016-11-20,2017-03-03,1207.0
Cancity,7WAX8Z8O,Lajuana Vencill,Lost,MG Advanced,2016-11-20,2017-03-08,0.0
Rangreen,MYDUMR3R,Lajuana Vencill,Won,GTX Basic,2016-11-20,2017-03-04,559.0
dambase,37JFKD4I,Niesha Huffines,Won,GTX Plus Basic,2016-11-20,2017-03-09,1033.0
Kan-code,25YKPHX8,Donn Cantrell,Won,GTX Basic,2016-11-21,2017-03-21,462.0
Nam-zim,BXXMA7F3,Hayden Neloms,Lost,MG Advanced,2016-11-21,2017-03-01,0.0
Y-corporation,GIUUTBXM,Kary Hendrixson,Won,GTXPro,2016-11-21,2017-03-14,5539.0
Ron-tech,MFX2LR1Q,Lajuana Vencill,Won,MG Advanced,2016-11-21,2017-03-15,3573.0
Conecom,DUHE9FLY,Marty Freudenburg,Won,GTXPro,2016-11-21,2017-03-01,4926.0
Sunnamplex,96BSG7R1,Zane Levy,Lost,GTX Plus Basic,2016-11-21,2017-03-17,0.0
Bioplex,7FQMSWIX,Corliss Cosme,Won,MG Special,2016-11-22,2017-03-04,62.0
Gogozoom,C20AVXN7,Darcel Schlecht,Won,GTXPro,2016-11-22,2017-03-14,4359.0
Plusstrip,GS1QVWCR,Kami Bicknell,Won,GTX Basic,2016-11-22,2017-03-31,566.0
Toughzap,ZWH8FXY3,Marty Freudenburg,Won,GTX Basic,2016-11-22,2017-03-03,508.0
Vehement Capital Partners,2U94Y3Q9,Rosie Papadopoulos,Lost,MG Advanced,2016-11-22,2017-03-20,0.0
Codehow,AAR79NOO,Versie Hillebrand,Won,MG Special,2016-11-22,2017-03-11,51.0
Dalttechnology,B6B0PNR2,Vicki Laflamme,Won,GTXPro,2016-11-22,2017-03-05,4899.0
Ontomedia,LXZA2OSZ,Corliss Cosme,Won,GTX Plus Pro,2016-11-23,2017-03-03,5790.0
Kinnamplus,N0ONCYVZ,Donn Cantrell,Lost,MG Special,2016-11-23,2017-03-30,0.0
Codehow,513DPFX5,Gladys Colclough,Won,GTXPro,2016-11-23,2017-03-03,4438.0
Finhigh,RU023K5W,Gladys Colclough,Won,MG Advanced,2016-11-23,2017-03-17,2972.0
Y-corporation,BZCBQ514,Markita Hansen,Won,GTX Basic,2016-11-23,2017-03-01,523.0
Statholdings,HEE6P0QH,Anna Snelling,Won,MG Advanced,2016-11-24,2017-03-25,3647.0
Umbrella Corporation,L8CHRJ2B,Cassey Cress,Won,MG Advanced,2016-11-24,2017-03-01,4200.0
Faxquote,V2X2KMUR,Kami Bicknell,Won,GTX Plus Basic,2016-11-24,2017-03-28,1059.0
Codehow,AJIPJP75,Marty Freudenburg,Lost,GTX Plus Basic,2016-11-24,2017-03-05,0.0
Dontechi,NYVA2G6U,Versie Hillebrand,Won,MG Special,2016-11-24,2017-03-02,57.0
Konex,FF45BXTL,Vicki Laflamme,Won,MG Advanced,2016-11-24,2017-03-27,3671.0
Treequote,TTA9LYBS,Anna Snelling,Won,MG Special,2016-11-25,2017-03-01,58.0
Treequote,PAGZQH8L,Cecily Lampkin,Won,MG Advanced,2016-11-25,2017-03-06,3956.0
Betasoloin,J7YF6DS7,Corliss Cosme,Won,GTX Plus Pro,2016-11-25,2017-03-01,5964.0
Betasoloin,S5IXY4Z9,Corliss Cosme,Won,GTXPro,2016-11-25,2017-03-06,4570.0
Domzoom,JQBJMETQ,Darcel Schlecht,Won,MG Special,2016-11-25,2017-03-27,49.0
Donquadtech,0LVWSWEW,Violet Mclelland,Won,MG Special,2016-11-25,2017-03-06,65.0
Domzoom,K53BC1T9,Anna Snelling,Lost,MG Special,2016-11-26,2017-03-27,0.0
Finhigh,D40N5I9Y,Darcel Schlecht,Won,GTXPro,2016-11-26,2017-03-08,4739.0
Globex Corporation,051QTX8Z,Niesha Huffines,Won,GTX Plus Basic,2016-11-26,2017-03-21,1080.0
Plussunin,5D2XH04S,Reed Clapper,Won,MG Special,2016-11-26,2017-03-12,57.0
Konex,V9E582SK,Garret Kinder,Won,GTX Basic,2016-11-27,2017-03-16,469.0
Condax,UK0LEZRJ,Kary Hendrixson,Won,GTX Basic,2016-11-27,2017-03-03,532.0
Konex,IT10CFQH,Rosalina Dieter,Won,GTX Basic,2016-11-27,2017-03-26,538.0
Massive Dynamic,8VKD2CCH,Rosie Papadopoulos,Won,GTXPro,2016-11-27,2017-03-21,4829.0
Doncon,2XQAKBXH,Zane Levy,Won,GTX Plus Pro,2016-11-27,2017-03-11,5370.0
Hatfan,7G7YLGJO,Zane Levy,Won,GTX Plus Pro,2016-11-27,2017-03-21,6499.0
Genco Pura Olive Oil Company,GCA97W27,Darcel Schlecht,Won,GTX Plus Basic,2016-11-28,2017-03-06,1161.0
Scotfind,K8FUZHOG,Kary Hendrixson,Won,GTX Basic,2016-11-28,2017-03-26,576.0
Hatfan,5WJZMULK,Maureen Marcano,Won,GTX Plus Basic,2016-11-28,2017-03-19,979.0
Stanredtax,ZPYD4T9W,Versie Hillebrand,Won,MG Special,2016-11-28,2017-03-07,43.0
Scottech,KE9ZEDS8,Gladys Colclough,Won,MG Special,2016-11-29,2017-03-07,57.0
Ron-tech,7KK0HQ4C,Lajuana Vencill,Lost,MG Special,2016-11-29,2017-03-28,0.0
Funholding,FP7014Z0,Lajuana Vencill,Won,GTX Plus Basic,2016-11-29,2017-03-12,948.0
Plussunin,N4HFHDMW,Wilburn Farren,Won,MG Advanced,2016-11-29,2017-03-10,3012.0
Zotware,2HFLKREC,Cassey Cress,Won,MG Advanced,2016-11-30,2017-03-15,3665.0
Gekko & Co,7JVTTVCO,Violet Mclelland,Won,GTX Basic,2016-11-30,2017-03-24,564.0
dambase,3X13866U,Anna Snelling,Lost,GTX Plus Basic,2016-12-01,2017-03-06,0.0
Initech,7LE19SYE,Cassey Cress,Won,MG Advanced,2016-12-01,2017-03-22,3463.0
Gekko & Co,J5V2M7Y1,Corliss Cosme,Won,GTX Basic,2016-12-01,2017-03-26,513.0
Konex,41MURAI5,Corliss Cosme,Won,GTX Basic,2016-12-01,2017-03-28,590.0
Dontechi,QHI8WRIA,Darcel Schlecht,Won,GTXPro,2016-12-01,2017-03-30,4511.0
Finhigh,AJXAXV4W,Lajuana Vencill,Lost,MG Advanced,2016-12-01,2017-03-02,0.0
Cancity,VPDXX5PJ,Niesha Huffines,Won,GTX Basic,2016-12-01,2017-03-26,546.0
Y-corporation,PZB9NUK8,Vicki Laflamme,Won,MG Special,2016-12-01,2017-03-05,46.0
Ron-tech,A0ANOYPF,Darcel Schlecht,Won,GTXPro,2016-12-02,2017-03-09,4891.0
Golddex,0P4AAPYX,Hayden Neloms,Won,GTX Plus Basic,2016-12-02,2017-03-03,1040.0
Sonron,O6T5WC3W,Hayden Neloms,Won,GTX Plus Basic,2016-12-02,2017-03-04,1108.0
Nam-zim,0NO04P6C,Hayden Neloms,Won,MG Special,2016-12-02,2017-03-04,59.0
Statholdings,22OFSXBT,Jonathan Berthelot,Won,GTXPro,2016-12-02,2017-03-30,5406.0
Cheers,MRXZTMM6,Kary Hendrixson,Won,GTX Basic,2016-12-02,2017-03-20,515.0
Treequote,LGI8QEC2,Moses Frase,Won,GTX Basic,2016-12-02,2017-03-06,583.0
Funholding,6KZ0NCFX,Versie Hillebrand,Won,MG Special,2016-12-02,2017-03-14,54.0
Plusstrip,3SF8O9S6,Vicki Laflamme,Won,MG Special,2016-12-02,2017-03-27,60.0
Dontechi,XK668R7C,Darcel Schlecht,Lost,GTX Basic,2016-12-03,2017-03-12,0.0
Funholding,TZCAQWL3,Darcel Schlecht,Lost,GTXPro,2016-12-03,2017-03-19,0.0
Globex Corporation,BADC6A9H,Darcel Schlecht,Won,GTX Basic,2016-12-03,2017-03-23,516.0
Rangreen,B8E0UUZR,Darcel Schlecht,Won,GTXPro,2016-12-03,2017-03-22,4829.0
Dontechi,I043RXJV,Moses Frase,Lost,GTX Plus Basic,2016-12-03,2017-03-17,0.0
Donquadtech,MWWB44CC,Reed Clapper,Won,GTX Plus Basic,2016-12-03,2017-03-02,950.0
Xx-holding,HBTINPDG,Vicki Laflamme,Lost,GTX Plus Basic,2016-12-03,2017-03-09,0.0
Initech,DZ3KHZSX,Corliss Cosme,Won,GTX Basic,2016-12-04,2017-03-20,513.0
Condax,3W1K7X5F,Darcel Schlecht,Lost,GTXPro,2016-12-04,2017-03-09,0.0
Ron-tech,45A57X68,Darcel Schlecht,Won,GTX Plus Pro,2016-12-04,2017-03-12,5522.0
Cancity,9SLYC4TR,Gladys Colclough,Won,MG Special,2016-12-04,2017-03-09,56.0
Doncon,JLWKWQYC,James Ascencio,Won,GTXPro,2016-12-04,2017-03-08,5673.0
Xx-holding,7QC6FOKW,Kami Bicknell,Won,GTX Basic,2016-12-04,2017-03-10,598.0
Rangreen,XA184CMW,Marty Freudenburg,Won,GTX Plus Pro,2016-12-04,2017-03-16,5787.0
Singletechno,S0N7BYU3,Maureen Marcano,Won,GTX Plus Basic,2016-12-04,2017-03-08,1070.0
Donquadtech,6WOMHAJM,Boris Faz,Won,MG Advanced,2016-12-05,2017-03-14,3677.0
Ontomedia,G1QGATKV,Cassey Cress,Won,GTX Plus Pro,2016-12-05,2017-03-30,5425.0
Yearin,6XFVQI32,Donn Cantrell,Won,MG Advanced,2016-12-05,2017-03-23,3415.0
Lexiqvolax,OGD4MDJ9,Maureen Marcano,Won,GTX Plus Basic,2016-12-05,2017-03-21,891.0
Codehow,4NGBUZWJ,Lajuana Vencill,Won,GTX Basic,2016-12-06,2017-03-12,609.0
